id,name,cases
01000,Alabama,6
01001,"Autauga, AL",0
01003,"Baldwin, AL",0
01005,"Barbour, AL",0
01007,"Bibb, AL",0
01009,"Blount, AL",0
01011,"Bullock, AL",0
01013,"Butler, AL",0
01015,"Calhoun, AL",0
01017,"Chambers, AL",0
01019,"Cherokee, AL",0
01021,"Chilton, AL",0
01023,"Choctaw, AL",0
01025,"Clarke, AL",0
01027,"Clay, AL",0
01029,"Cleburne, AL",0
01031,"Coffee, AL",0
01033,"Colbert, AL",0
01035,"Conecuh, AL",0
01037,"Coosa, AL",0
01039,"Covington, AL",0
01041,"Crenshaw, AL",0
01043,"Cullman, AL",0
01045,"Dale, AL",0
01047,"Dallas, AL",0
01049,"Dekalb, AL",0
01051,"Elmore, AL",0
01053,"Escambia, AL",0
01055,"Etowah, AL",0
01057,"Fayette, AL",0
01059,"Franklin, AL",0
01061,"Geneva, AL",0
01063,"Greene, AL",0
01065,"Hale, AL",0
01067,"Henry, AL",0
01069,"Houston, AL",0
01071,"Jackson, AL",0
01073,"Jefferson, AL",0
01075,"Lamar, AL",0
01077,"Lauderdale, AL",0
01079,"Lawrence, AL",0
01081,"Lee, AL",0
01083,"Limestone, AL",0
01085,"Lowndes, AL",0
01087,"Macon, AL",0
01089,"Madison, AL",0
01091,"Marengo, AL",0
01093,"Marion, AL",0
01095,"Marshall, AL",0
01097,"Mobile, AL",0
01099,"Monroe, AL",0
01101,"Montgomery, AL",0
01103,"Morgan, AL",0
01105,"Perry, AL",0
01107,"Pickens, AL",0
01109,"Pike, AL",0
01111,"Randolph, AL",0
01113,"Russell, AL",0
01115,"St. Clair, AL",0
01117,"Shelby, AL",0
01119,"Sumter, AL",0
01121,"Talladega, AL",0
01123,"Tallapoosa, AL",0
01125,"Tuscaloosa, AL",0
01127,"Walker, AL",0
01129,"Washington, AL",0
01131,"Wilcox, AL",0
01133,"Winston, AL",0
02000,Alaska,1
02013,"Aleutians East Borough, AK",0
02016,"Aleutians West Census Area, AK",0
02020,"Anchorage Municipality, AK",0
02050,"Bethel Census Area, AK",0
02060,"Bristol Bay Borough, AK",0
02068,"Denali Borough, AK",0
02070,"Dillingham Census Area, AK",0
02090,"Fairbanks North Star Borough, AK",0
02100,"Haines Borough, AK",0
02105,"Hoonah-Angoon Census Area, AK",0
02110,"Juneau City And Borough, AK",0
02122,"Kenai Peninsula Borough, AK",0
02130,"Ketchikan Gateway Borough, AK",0
02150,"Kodiak Island Borough, AK",0
02164,"Lake And Peninsula Borough, AK",0
02170,"Matanuska-Susitna Borough, AK",0
02180,"Nome Census Area, AK",0
02185,"North Slope Borough, AK",0
02188,"Northwest Arctic Borough, AK",0
02195,"Petersburg Borough, AK",0
02198,"Prince Of Wales-Hyder Census Area, AK",0
02220,"Sitka City And Borough, AK",0
02230,"Skagway Municipality, AK",0
02240,"Southeast Fairbanks Census Area, AK",0
02261,"Valdez-Cordova Census Area, AK",0
02270,"Wade Hampton Census Area, AK",0
02275,"Wrangell City And Borough, AK",0
02282,"Yakutat City And Borough, AK",0
02290,"Yukon-Koyukuk Census Area, AK",0
04000,Arizona,12
04001,"Apache, AZ",0
04003,"Cochise, AZ",0
04005,"Coconino, AZ",0
04007,"Gila, AZ",0
04009,"Graham, AZ",0
04011,"Greenlee, AZ",0
04012,"La Paz, AZ",0
04013,"Maricopa, AZ",2
04015,"Mohave, AZ",0
04017,"Navajo, AZ",0
04019,"Pima, AZ",0
04021,"Pinal, AZ",2
04023,"Santa Cruz, AZ",0
04025,"Yavapai, AZ",0
04027,"Yuma, AZ",0
05000,Arkansas,12
05001,"Arkansas, AR",0
05003,"Ashley, AR",0
05005,"Baxter, AR",0
05007,"Benton, AR",0
05009,"Boone, AR",0
05011,"Bradley, AR",0
05013,"Calhoun, AR",0
05015,"Carroll, AR",0
05017,"Chicot, AR",0
05019,"Clark, AR",0
05021,"Clay, AR",0
05023,"Cleburne, AR",0
05025,"Cleveland, AR",0
05027,"Columbia, AR",0
05029,"Conway, AR",0
05031,"Craighead, AR",0
05033,"Crawford, AR",0
05035,"Crittenden, AR",0
05037,"Cross, AR",0
05039,"Dallas, AR",0
05041,"Desha, AR",0
05043,"Drew, AR",0
05045,"Faulkner, AR",0
05047,"Franklin, AR",0
05049,"Fulton, AR",0
05051,"Garland, AR",0
05053,"Grant, AR",0
05055,"Greene, AR",0
05057,"Hempstead, AR",0
05059,"Hot Spring, AR",0
05061,"Howard, AR",0
05063,"Independence, AR",0
05065,"Izard, AR",0
05067,"Jackson, AR",0
05069,"Jefferson, AR",0
05071,"Johnson, AR",0
05073,"Lafayette, AR",0
05075,"Lawrence, AR",0
05077,"Lee, AR",0
05079,"Lincoln, AR",0
05081,"Little River, AR",0
05083,"Logan, AR",0
05085,"Lonoke, AR",0
05087,"Madison, AR",0
05089,"Marion, AR",0
05091,"Miller, AR",0
05093,"Mississippi, AR",0
05095,"Monroe, AR",0
05097,"Montgomery, AR",0
05099,"Nevada, AR",0
05101,"Newton, AR",0
05103,"Ouachita, AR",0
05105,"Perry, AR",0
05107,"Phillips, AR",0
05109,"Pike, AR",0
05111,"Poinsett, AR",0
05113,"Polk, AR",0
05115,"Pope, AR",0
