FIPS,population,cases,new_cases_last_week,new_cases_2_week_ago,deaths
1,4903185,426543,18695,27789,6126
2,731545,50572,1775,2425,230
4,7278717,685699,49599,60252,11266
5,3017804,273594,14041,19642,4386
6,39512223,2996968,249680,265113,33739
8,5758736,377856,13520,18485,5388
9,3565287,232219,15172,15001,6682
10,973764,71311,4865,4911,1021
11,705749,34259,1836,1631,861
12,21477737,1560015,83531,97715,24820
13,10617423,689676,40982,44496,12582
15,1415872,25136,983,1112,324
16,1787065,155554,5315,6295,1607
17,12671821,1076532,36364,43713,20153
18,6732219,595436,24959,32801,9466
19,3155070,258148,6282,7031,4332
20,2913314,259822,12320,15255,3525
21,4467673,330907,22178,19344,3194
22,4648794,372089,19150,22163,8324
23,1344212,34262,3936,3656,519
24,6045680,330186,17835,18697,6650
25,6892503,476526,33997,36123,13749
26,9986857,587448,17298,22803,14735
27,5639632,448268,9401,14151,5945
28,2976149,255125,13168,15412,5574
29,6137428,440197,13080,19494,6263
30,1068778,89864,2787,2952,1093
31,1934408,182418,5748,6736,1842
32,3080156,263972,11130,15331,3792
33,1359711,58709,5561,5295,938
34,8882190,635702,40953,35376,20512
35,2096829,164954,6980,8624,2975
36,19453561,1258087,102717,97038,33224
37,10488084,684497,48522,51117,8139
38,762062,96071,1103,1663,1408
39,11689100,836055,43117,52433,10336
40,3956971,358374,20917,24487,3037
41,4217737,133851,7244,7908,1803
42,12801989,777186,43757,51566,19467
44,1059361,107066,5673,7063,2045
45,5148714,394318,34961,27471,6259
46,884659,105786,2043,2918,1667
47,6829174,689808,28934,45060,8470
48,28995881,2135028,139736,127175,32394
49,3205958,326221,16592,19625,1507
50,623989,10321,1074,836,163
51,8535519,451076,43129,31616,5798
53,7614893,289939,13253,17763,3903
54,1792147,110820,7617,10389,1815
55,5822434,571268,16019,18834,5973
56,578759,49922,1850,1646,550
66,0,7515,92,64,128
69,0,129,1,0,2
72,0,88373,3946,3529,1703
78,0,2260,94,76,24
1001,55869,5227,257,540,55
1003,223234,16513,941,1484,183
1005,24686,1738,59,135,36
1007,22394,2170,80,152,47
1009,57826,5320,186,363,83
1011,10101,997,31,91,28
1013,19448,1707,58,101,58
1015,113605,11206,538,764,200
1017,33254,2886,189,244,69
1019,26196,1609,41,75,30
1021,44428,3378,78,262,65
1023,12589,515,12,5,24
1025,23622,2831,182,166,33
1027,13235,1270,39,68,45
1029,14910,1184,55,70,23
1031,52342,4462,235,390,56
1033,55241,5354,195,359,73
1035,12067,951,30,51,20
1037,10663,605,14,63,15
1039,37049,3301,95,188,68
1041,13772,1202,64,126,44
1043,83768,8094,298,584,105
1045,49172,3997,197,300,81
1047,37196,3051,94,157,96
1049,71513,7715,257,388,97
1051,81209,7923,390,872,101
1053,36633,3213,178,241,42
1055,102268,11805,548,773,168
1057,16302,1712,99,93,26
1059,31362,3681,110,198,48
1061,26271,2033,102,167,35
1063,8111,762,24,59,23
1065,14651,1774,79,140,42
1067,17205,1550,92,157,21
1069,105882,8681,415,766,148
1071,51626,5837,189,461,41
1073,658573,62752,2885,5345,920
1075,13805,1184,31,73,19
1077,92729,7631,335,609,83
1079,32924,2452,101,203,47
1081,164542,12603,791,917,101
1083,98915,8074,352,612,74
1085,9726,1115,44,73,35
1087,18068,1168,62,67,35
1089,372909,27303,1291,2490,186
1091,18863,2008,59,93,29
1093,29709,2473,115,204,50
1095,96774,10236,329,582,107
1097,413210,30551,1540,1990,554
1099,20733,1473,57,162,17
1101,226486,19192,877,1485,305
1103,119679,12321,450,871,113
1105,8923,982,52,57,19
1107,19930,1969,45,126,31
1109,33114,2513,129,192,29
1111,22722,1415,57,77,35
1113,57961,3359,254,214,10
1115,89512,7599,294,571,120
1117,217702,18693,856,1520,114
1119,12427,895,8,57,26
1121,79978,6224,332,475,108
1123,40367,2630,39,158,107
1125,209355,20835,515,1399,267
1127,63521,5930,155,395,174
1129,16326,1383,57,91,26
1131,10373,1036,50,54,21
1133,23629,2290,90,165,35
2013,3337,29,1,0,0
2016,5634,110,40,16,0
2020,288000,24191,536,914,127
2050,18386,3014,214,553,12
2068,2097,58,1,0,0
2070,4916,130,7,7,1
2090,96849,5504,249,306,24
2100,2530,15,1,1,0
2105,2148,50,2,3,1
2110,31974,975,24,32,3
2122,58708,3615,69,86,15
2130,13901,242,9,16,1
2150,12998,955,33,45,2
2158,8314,1017,95,210,3
2164,1592,98,7,1,0
2170,108317,7117,261,411,18
2180,10004,293,12,9,0
2185,9832,927,85,47,3
2188,7621,510,43,15,0
2195,3266,38,9,7,0
2198,6203,68,1,-1,1
2220,8493,270,14,3,0
2230,1183,15,0,0,0
2240,6893,382,3,6,3
2261,9202,347,20,33,2
2275,2502,19,1,1,0
2290,5230,254,18,11,4
4001,71887,8705,350,668,278
4003,125922,9691,459,889,191
4005,143476,14196,1107,1094,246
4007,54018,5448,301,428,167
4009,38837,4417,247,404,58
4011,9498,487,23,41,4
4012,21108,2049,164,339,46
4013,4485414,425844,32112,43568,6443
4015,212181,16899,1109,2247,439
4017,110924,13548,694,892,392
4019,1047279,91740,7314,8564,1422
4021,462789,37135,2482,3872,490
4023,46498,7104,314,543,132
4025,235099,14989,1135,1579,325
4027,213787,33447,1789,2326,633
5001,17486,1578,104,125,35
5003,19657,1502,87,108,24
5005,41932,2476,98,255,86
5007,279141,23248,1224,2399,312
5009,37432,3018,140,226,72
5011,10763,1166,74,126,25
5013,5189,298,27,31,2
5015,28380,2419,109,164,35
5017,10118,1506,30,56,35
5019,22320,1658,106,149,30
5021,14551,1486,49,92,39
5023,24919,1623,101,230,45
5025,7956,690,52,56,23
5027,23457,1803,79,133,47
5029,20846,1794,122,258,21
5031,110332,11612,443,749,154
5033,63257,5639,319,546,76
5035,47955,5091,259,295,79
5037,16419,1715,97,184,41
5039,7009,616,59,48,12
5041,11361,1094,46,70,15
5043,18219,1726,100,130,26
5045,126007,9724,620,1094,121
5047,17715,1357,65,111,29
5049,12477,1002,22,101,38
5051,99386,7574,468,767,187
5053,18265,1281,62,122,26
5055,45325,5140,217,331,60
